index,File,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,cantherm.py,2.0,2.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,69.0,12.0,14.0,5.0,9.0,43.0,2.0,0.0,14.0,5.0,9.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,3.07,2.0,2.0,2.0,1.0,0.0
1,conf.py,1.0,1.0,1.0,1.0,40.0,0.0,0.0,0.0,0.0,1.0,0.0,244.0,63.0,42.0,2.0,40.0,143.0,1.0,0.0,28.0,2.0,26.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.40,1.0,1.0,1.0,1.0,0.0
2,switchover_pressure.py,3.0,3.0,3.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,63.0,18.0,37.0,3.0,34.0,8.0,4.0,1.0,37.0,3.0,34.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.22,3.0,3.0,3.0,1.0,0.0
5,cantherm_dimetpropoxy.py,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,7.0,20.0,0.0,20.0,3.0,1.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.15,1.0,1.0,1.0,1.0,0.0
6,dimetpropoxy.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,11.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
7,dimetpropoxy_betasci.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,10.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
8,ch3oh.py,1.0,1.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,11.0,19.0,0.0,19.0,3.0,1.0,0.0,9.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16,1.0,1.0,1.0,1.0,0.0
9,hco.py,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,11.0,18.0,0.0,18.0,2.0,1.0,0.0,9.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.11,1.0,1.0,1.0,1.0,0.0
11,ts.py,1.0,1.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,10.0,16.0,0.0,16.0,3.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19,1.0,1.0,1.0,1.0,0.0
12,TS.py,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,10.0,15.0,0.0,15.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13,1.0,1.0,1.0,1.0,0.0
15,ethene.py,1.0,1.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,10.0,20.0,0.0,20.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.10,1.0,1.0,1.0,1.0,0.0
17,ethyl.py,1.0,1.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,10.0,25.0,0.0,25.0,2.0,1.0,0.0,11.0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
19,C2H6.py,1.0,1.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0,39.0,11.0,26.0,0.0,26.0,2.0,1.0,0.0,12.0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.08,1.0,1.0,1.0,1.0,0.0
21,H.py,1.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,10.0,15.0,0.0,15.0,2.0,1.0,0.0,10.0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.13,1.0,1.0,1.0,1.0,0.0
45,input_QM.py,1.0,1.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,46.0,9.0,37.0,0.0,37.0,0.0,1.0,0.0,9.0,0.0,9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00,1.0,1.0,1.0,1.0,0.0
49,cclib2biopython.py,2.0,2.0,2.0,1.0,12.0,2.0,6.0,13.0,0.0,2.0,1.0,35.0,6.0,12.0,4.0,8.0,17.0,2.0,0.0,12.0,4.0,8.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.42,4.0,4.0,4.0,2.0,0.0
50,cclib2openbabel.py,2.0,2.0,2.0,1.0,14.0,1.0,14.0,11.0,0.0,2.0,1.0,39.0,5.0,19.0,3.0,16.0,15.0,2.0,0.0,19.0,3.0,16.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.79,4.0,4.0,4.0,2.0,0.0
51,cclib2pyquante.py,1.0,1.0,1.0,1.0,8.0,1.0,3.0,10.0,0.0,2.0,1.0,27.0,5.0,8.0,3.0,5.0,14.0,2.0,0.0,7.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.75,3.0,3.0,3.0,2.0,0.0
53,calculationmethod.py,1.0,1.0,1.0,1.0,11.0,3.0,12.0,4.0,1.0,2.0,1.0,44.0,11.0,19.0,6.0,13.0,14.0,2.0,0.0,17.0,5.0,12.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.74,3.0,3.0,3.0,2.0,0.0
54,cda.py,4.0,4.0,4.0,1.0,20.0,5.0,17.0,3.0,1.0,5.0,4.0,123.0,33.0,73.0,8.0,65.0,18.0,1.0,0.0,66.0,8.0,58.0,1.0,1.0,1.0,1.0,19.0,19.0,19.0,1.0,4.0,0.25,23.0,23.0,23.0,5.0,0.0
55,cspa.py,3.0,3.0,3.0,1.0,17.0,5.0,14.0,2.0,1.0,5.0,4.0,111.0,32.0,64.0,9.0,55.0,16.0,2.0,0.0,64.0,9.0,55.0,2.0,2.0,2.0,1.0,14.0,14.0,14.0,5.0,3.0,0.25,19.0,19.0,19.0,9.0,0.0
