index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,TensorContractionThreadPool.h,0.0,0.0,0.0,109.0,699.0,273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.0,2.0,0.0,0.0,0.0,11.0,1036.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
2,BasicPreconditioners.h,0.0,3.0,0.0,31.0,126.0,56.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,3.0,23.0,211.0,31.0,123.0,63.0,38.0,56.0,0.0,3.0,49.0,79.0,41.0,0.0,38.0,4.0,4.0,7.0,1.0,2.0,0.46,28.0,28.0,33.0,23.0,0.0
3,HessenbergDecomposition.h,0.0,7.0,0.0,34.0,138.0,206.0,1.0,1.0,2.0,1.0,8.0,0.0,7.0,0.0,1.0,12.0,374.0,34.0,135.0,64.0,45.0,206.0,0.0,3.0,58.0,81.0,44.0,0.0,37.0,2.0,2.0,2.0,1.0,1.0,1.53,17.0,17.0,21.0,12.0,0.0
4,cpcm_gepol-C2H4_D2h.cpp,7.0,42.0,4.0,13.0,61.0,30.0,12.0,12.0,14.0,1.0,53.0,7.0,42.0,4.0,0.0,1.0,104.0,13.0,48.0,31.0,33.0,30.0,0.0,13.0,62.0,80.0,41.0,7.0,32.0,12.0,12.0,14.0,1.0,4.0,0.62,12.0,12.0,14.0,1.0,0.0
5,catch.hpp,0.0,4.0,0.0,1945.0,9144.0,704.0,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,22.0,205.0,11605.0,562.0,1640.0,1020.0,391.0,238.0,8754.0,1254.0,835.0,1133.0,797.0,3.0,333.0,4.0,4.0,4.0,4.0,2.0,0.15,252.0,252.0,274.0,219.0,0.0
8,TestingMolecules.hpp,6.0,42.0,2.0,75.0,405.0,64.0,3.0,1.0,3.0,1.0,51.0,6.0,42.0,2.0,0.0,9.0,542.0,75.0,395.0,152.0,259.0,64.0,0.0,10.0,351.0,373.0,149.0,0.0,224.0,9.0,2.0,9.0,1.0,1.0,0.16,27.0,12.0,27.0,9.0,0.0
9,Collocation.hpp,0.0,0.0,0.0,9.0,28.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,86.0,9.0,23.0,20.0,0.0,53.0,0.0,5.0,10.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.30,0.0,0.0,0.0,0.0,0.0
10,GePolCavity.hpp,0.0,2.0,0.0,10.0,77.0,95.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,179.0,10.0,71.0,66.0,4.0,95.0,0.0,6.0,15.0,21.0,20.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.34,2.0,2.0,2.0,2.0,0.0
11,DerivativeTypes.hpp,0.0,3.0,0.0,7.0,21.0,23.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,3.0,50.0,7.0,18.0,12.0,3.0,23.0,0.0,3.0,7.0,11.0,8.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.28,3.0,3.0,3.0,3.0,0.0
12,UniformDielectric.hpp,0.0,3.0,0.0,14.0,41.0,33.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,84.0,14.0,34.0,26.0,2.0,33.0,0.0,7.0,13.0,19.0,17.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.97,2.0,2.0,2.0,2.0,0.0
13,Vacuum.hpp,0.0,3.0,1.0,14.0,42.0,37.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,1.0,2.0,88.0,14.0,35.0,27.0,2.0,37.0,0.0,7.0,14.0,20.0,18.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.06,2.0,2.0,2.0,2.0,0.0
14,CPCMSolver.hpp,0.0,2.0,0.0,11.0,37.0,55.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,100.0,11.0,30.0,27.0,1.0,55.0,0.0,7.0,13.0,18.0,18.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.83,2.0,2.0,2.0,2.0,0.0
15,MathUtils.hpp,0.0,11.0,2.0,27.0,204.0,207.0,3.0,3.0,3.0,1.0,13.0,0.0,11.0,2.0,0.0,16.0,434.0,27.0,189.0,109.0,110.0,207.0,0.0,15.0,107.0,149.0,78.0,0.0,71.0,16.0,16.0,16.0,1.0,5.0,1.10,42.0,42.0,42.0,16.0,0.0
16,Molecule.hpp,0.0,1.0,0.0,22.0,96.0,128.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,15.0,243.0,22.0,86.0,79.0,22.0,128.0,0.0,10.0,47.0,68.0,51.0,0.0,17.0,1.0,1.0,1.0,1.0,0.0,1.49,15.0,15.0,15.0,15.0,0.0
17,gepol_H3+.cpp,3.0,30.0,9.0,9.0,39.0,31.0,17.0,17.0,20.0,1.0,42.0,3.0,30.0,9.0,0.0,1.0,79.0,9.0,32.0,18.0,23.0,31.0,0.0,7.0,43.0,61.0,24.0,3.0,34.0,17.0,17.0,20.0,1.0,4.0,0.97,17.0,17.0,20.0,1.0,0.0
18,Symmetry.hpp,0.0,2.0,0.0,7.0,28.0,47.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,7.0,82.0,7.0,24.0,13.0,8.0,47.0,0.0,4.0,13.0,20.0,12.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.96,7.0,7.0,7.0,7.0,0.0
20,SolverData.hpp,0.0,2.0,0.0,5.0,12.0,29.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,45.0,5.0,9.0,8.0,1.0,29.0,0.0,3.0,4.0,6.0,6.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.22,1.0,1.0,1.0,1.0,0.0
23,TensorGenerator.h,0.0,6.0,0.0,28.0,139.0,23.0,2.0,2.0,2.0,1.0,6.0,0.0,6.0,0.0,1.0,12.0,185.0,28.0,136.0,82.0,41.0,23.0,0.0,3.0,72.0,97.0,62.0,0.0,35.0,4.0,4.0,4.0,1.0,2.0,0.17,19.0,19.0,19.0,12.0,0.0
24,SparseLU_kernel_bmod.h,3.0,32.0,5.0,14.0,86.0,35.0,5.0,5.0,5.0,1.0,39.0,3.0,32.0,5.0,0.0,2.0,130.0,14.0,83.0,43.0,39.0,35.0,0.0,3.0,55.0,66.0,32.0,1.0,33.0,6.0,6.0,6.0,1.0,1.0,0.42,9.0,9.0,9.0,2.0,0.0
26,TensorSyclPlaceHolderExpr.h,0.0,0.0,0.0,29.0,110.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,29.0,65.0,58.0,5.0,46.0,0.0,45.0,56.0,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0
27,ProductEvaluators.h,0.0,5.0,1.0,164.0,806.0,140.0,2.0,2.0,2.0,1.0,6.0,0.0,5.0,1.0,0.0,71.0,1099.0,164.0,781.0,434.0,133.0,140.0,10.0,15.0,265.0,371.0,253.0,0.0,118.0,15.0,15.0,16.0,4.0,3.0,0.18,108.0,108.0,116.0,74.0,0.0
28,Solver.hpp,2.0,6.0,0.0,8.0,19.0,34.0,1.0,1.0,1.0,1.0,8.0,2.0,6.0,0.0,0.0,1.0,58.0,8.0,13.0,9.0,3.0,34.0,0.0,6.0,5.0,9.0,6.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,2.62,1.0,1.0,1.0,1.0,0.0
29,IEFSolver.hpp,0.0,1.0,0.0,11.0,45.0,72.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,125.0,11.0,38.0,35.0,1.0,72.0,0.0,7.0,16.0,21.0,21.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.89,2.0,2.0,2.0,2.0,0.0
30,ISolver.hpp,0.0,3.0,0.0,11.0,40.0,54.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,5.0,103.0,11.0,37.0,26.0,9.0,54.0,0.0,3.0,13.0,21.0,16.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,1.46,6.0,6.0,6.0,5.0,0.0
31,Factory.hpp,0.0,5.0,0.0,9.0,76.0,99.0,2.0,2.0,2.0,1.0,5.0,0.0,5.0,0.0,2.0,7.0,178.0,9.0,54.0,25.0,18.0,80.0,30.0,12.0,18.0,31.0,18.0,0.0,13.0,3.0,3.0,3.0,1.0,1.0,1.48,11.0,11.0,11.0,7.0,0.0
32,Solvent.hpp,0.0,2.0,0.0,10.0,21.0,44.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,73.0,10.0,16.0,15.0,0.0,44.0,0.0,5.0,8.0,12.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.75,2.0,2.0,2.0,2.0,0.0
35,SparseLU_heap_relax_snode.h,4.0,64.0,18.0,10.0,72.0,57.0,12.0,12.0,14.0,1.0,76.0,4.0,64.0,18.0,0.0,1.0,126.0,10.0,69.0,20.0,37.0,57.0,0.0,3.0,47.0,61.0,17.0,1.0,43.0,12.0,12.0,14.0,1.0,4.0,0.83,12.0,12.0,14.0,1.0,0.0
36,SelfadjointRank2Update.h,2.0,14.0,1.0,17.0,63.0,16.0,2.0,2.0,2.0,1.0,16.0,2.0,14.0,1.0,0.0,3.0,93.0,17.0,60.0,34.0,20.0,16.0,0.0,3.0,27.0,35.0,25.0,0.0,10.0,3.0,3.0,3.0,1.0,1.0,0.27,7.0,7.0,7.0,3.0,0.0
39,MatrixPower.h,0.0,8.0,0.0,85.0,431.0,206.0,2.0,2.0,2.0,1.0,9.0,0.0,8.0,0.0,5.0,35.0,709.0,85.0,409.0,203.0,162.0,203.0,16.0,8.0,216.0,312.0,151.0,4.0,157.0,10.0,10.0,11.0,4.0,3.0,0.50,74.0,71.0,80.0,48.0,0.0
40,messages.cpp,0.0,0.0,0.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,2.0,2.0,9.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.50,0.0,0.0,0.0,0.0,0.0
41,messages.h,0.0,1.0,0.0,17.0,193.0,30.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,240.0,17.0,8.0,7.0,2.0,30.0,2.0,185.0,5.0,8.0,6.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,3.75,2.0,2.0,2.0,2.0,0.0
42,Rotation2D.h,0.0,3.0,0.0,36.0,94.0,72.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,18.0,199.0,36.0,91.0,53.0,27.0,72.0,0.0,3.0,39.0,78.0,55.0,0.0,23.0,3.0,3.0,3.0,1.0,1.0,0.79,21.0,21.0,22.0,18.0,0.0
43,SolveTriangular.h,1.0,6.0,0.0,47.0,166.0,25.0,2.0,2.0,2.0,1.0,8.0,1.0,6.0,0.0,1.0,11.0,232.0,47.0,161.0,96.0,41.0,25.0,0.0,5.0,60.0,94.0,67.0,0.0,27.0,4.0,4.0,9.0,1.0,1.0,0.16,19.0,19.0,27.0,11.0,0.0
