index,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
0,pair_gw.h,0.0,6.0,0.0,28.0,103.0,80.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,1.0,6.0,196.0,26.0,95.0,77.0,17.0,80.0,3.0,7.0,72.0,79.0,67.0,0.0,12.0,1.0,1.0,1.0,1.0,0.0,0.84,6.0,6.0,6.0,6.0,0.0
1,pair.h,0.0,1.0,0.0,53.0,172.0,178.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,27.0,355.0,53.0,168.0,155.0,12.0,178.0,0.0,4.0,127.0,155.0,147.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,1.06,27.0,27.0,27.0,27.0,0.0
2,fix_nh_intel.h,0.0,0.0,0.0,10.0,22.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,163.0,10.0,18.0,15.0,0.0,131.0,0.0,4.0,13.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,0.0,0.0,0.0,0.0,0.0
3,fix_nh.h,0.0,0.0,0.0,25.0,108.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,275.0,25.0,104.0,101.0,0.0,184.0,0.0,4.0,99.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77,0.0,0.0,0.0,0.0,0.0
4,Kokkos_Qthreads.hpp,0.0,0.0,0.0,44.0,73.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,3.0,0.0,0.0,0.0,44.0,150.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
5,Kokkos_Macros.hpp,0.0,0.0,0.0,92.0,263.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0,68.0,0.0,0.0,0.0,136.0,196.0,263.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
6,Kokkos_OldMacros.hpp,0.0,0.0,0.0,69.0,339.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453.0,69.0,0.0,0.0,0.0,46.0,196.0,339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
7,Kokkos_Core_fwd.hpp,0.0,1.0,0.0,55.0,157.0,107.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,298.0,55.0,73.0,69.0,2.0,89.0,46.0,52.0,31.0,44.0,43.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.22,3.0,3.0,3.0,3.0,0.0
11,Kokkos_HostSpace.hpp,0.0,5.0,0.0,67.0,151.0,105.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,2.0,5.0,311.0,67.0,121.0,97.0,18.0,101.0,11.0,24.0,49.0,65.0,59.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.83,5.0,5.0,5.0,5.0,0.0
12,Kokkos_ScratchSpace.hpp,0.0,12.0,3.0,23.0,84.0,63.0,2.0,2.0,2.0,1.0,14.0,0.0,9.0,1.0,1.0,4.0,163.0,23.0,68.0,42.0,21.0,57.0,12.0,10.0,32.0,41.0,25.0,0.0,16.0,5.0,5.0,5.0,1.0,2.0,0.84,8.0,8.0,8.0,4.0,0.0
